Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Preferred,Height,Weight,AltPos,Age,Nation,League,Team
Iván Franco,68,81,65,59,71,36,61,RM,Right,"171cm / 5'7""",66kg / 146lb,"LM, RW",24,Paraguay,Libertadores,Libertad
Iván Gil,68,65,67,66,72,57,50,CM,Right,"168cm / 5'6""",63kg / 139lb,"LM, LW",24,Spain,LA LIGA,UD Las Palmas
Iván Gómez,69,61,61,63,71,68,72,CM,Right,"167cm / 5'6""",60kg / 132lb,CDM,27,Argentina,Primera División,Platense
Iván Jaime,74,74,73,71,76,51,64,LM,Right,"180cm / 5'11""",75kg / 165lb,"CAM, ST, LW",23,Spain,Liga Portugal,FC Porto
Iván Leguizamón,68,87,61,61,69,36,57,RM,Left,"175cm / 5'9""",73kg / 161lb,"LM, CAM, RW",22,Paraguay,Libertadores,San Lorenzo
Iván Marcone,74,40,62,71,68,72,77,CDM,Right,"182cm / 6'0""",83kg / 183lb,CM,34,Argentina,Primera División,Independiente
Iván Morales,67,64,66,55,67,25,77,ST,Right,"180cm / 5'11""",76kg / 168lb,RM,25,Chile,Primera División,Sarmiento
Iván Morante,66,64,63,62,66,64,63,CDM,Left,"183cm / 6'0""",75kg / 165lb,CM,23,Spain,LALIGA HYPERMOTION,Burgos CF
Iván Márquez,68,49,43,50,50,68,76,CB,Right,"191cm / 6'3""",80kg / 176lb,,30,Spain,Eredivisie,N.E.C. Nijmegen
Iván Pillud,68,59,58,65,63,69,70,RB,Right,"180cm / 5'11""",82kg / 181lb,,38,Argentina,Primera División,Central Córdoba
Iván Piris,70,69,48,61,68,69,68,RB,Right,"173cm / 5'8""",75kg / 165lb,LB,35,Paraguay,Libertadores,Libertad
Iván Ramírez,69,71,45,62,63,65,70,RB,Right,"177cm / 5'10""",70kg / 154lb,,29,Paraguay,Libertadores,Libertad
Iván Romero,67,84,64,59,69,42,59,ST,Right,"172cm / 5'8""",72kg / 159lb,"RM, LM",23,Spain,LALIGA HYPERMOTION,Levante UD
Iván Román,60,65,27,46,42,59,75,CB,Right,"183cm / 6'0""",72kg / 159lb,,18,Chile,Libertadores,Palestino
Iván Sánchez,73,69,66,74,78,39,42,RM,Left,"169cm / 5'7""",66kg / 146lb,"CM, CAM, RW",31,Spain,LA LIGA,R. Valladolid CF
Iván Tapia,71,69,68,74,70,53,72,CAM,Right,"179cm / 5'10""",70kg / 154lb,CM,25,Argentina,Primera División,Barracas Central
Iván Valdez,67,78,61,60,69,41,57,RM,Right,"180cm / 5'11""",73kg / 161lb,"ST, RW",29,Paraguay,Sudamericana,S. Ameliano
Iván Vidaurre,63,59,36,58,51,64,66,LB,Left,"176cm / 5'9""",72kg / 159lb,CDM,37,Bolivia,Sudamericana,Universitario
Iván Villalba,66,62,33,49,49,65,69,CB,Right,"182cm / 6'0""",85kg / 187lb,,29,Paraguay,Primera División,Ind. Rivadavia
Iván Villar,74,73,72,71,76,32,74,GK,Right,"189cm / 6'2""",76kg / 168lb,,27,Spain,LA LIGA,RC Celta
Iyad Mohamed,63,55,43,55,58,61,66,CDM,Left,"191cm / 6'3""",80kg / 176lb,,23,Netherlands,Ligue 2 BKT,Pau FC
Iza Carcelén,70,74,58,66,68,65,68,RB,Right,"174cm / 5'9""",70kg / 154lb,RM,31,Spain,LALIGA HYPERMOTION,Cádiz CF
Izarne Sarasola,73,65,59,72,67,74,60,LB,Left,"158cm / 5'2""",60kg / 132lb,,22,Spain,Liga F,Real Sociedad
Izuchukwu Anthony,66,82,27,46,58,65,75,CB,Right,"187cm / 6'2""",86kg / 190lb,,26,Nigeria,CSL,Nantong Zhiyun FC
Izzy Atkinson,69,72,64,64,70,35,54,LW,Left,"166cm / 5'5""",58kg / 128lb,"LB, LM",23,Republic of Ireland,Barclays WSL,Crystal Palace
Izzy D'Aquila,67,51,68,60,65,39,63,ST,Right,"170cm / 5'7""",63kg / 139lb,,23,United States,NWSL,Portland Thorns
Izzy Rodriguez,71,58,54,65,60,72,57,LB,Left,"160cm / 5'3""",57kg / 126lb,,25,United States,NWSL,KC Current
Iñaki Peña,73,72,68,77,73,35,72,GK,Right,"184cm / 6'0""",78kg / 172lb,,25,Spain,LA LIGA,FC Barcelona
Iñigo Piña,68,65,33,50,50,69,65,CB,Right,"188cm / 6'2""",80kg / 176lb,,29,Spain,LALIGA HYPERMOTION,CD Eldense
Iñigo Vicente,75,78,68,74,76,47,62,LM,Right,"178cm / 5'10""",69kg / 152lb,"CAM, LW",26,Spain,LALIGA HYPERMOTION,R. Racing Club
Jabes Saralegui,63,69,55,60,66,56,62,CM,Left,"181cm / 5'11""",75kg / 165lb,,21,Argentina,Sudamericana,Boca Juniors
Jabez Makanda,59,66,60,54,60,25,56,CAM,Right,"182cm / 6'0""",81kg / 179lb,,23,Angola,3. Liga,Aleman. Aachen
Jabir Abdihakim Ali,58,53,55,40,54,23,70,ST,Right,"202cm / 6'8""",85kg / 187lb,,25,Sweden,Eliteserien,Lillestrøm SK
Jacen Russell-Rowe,62,71,59,46,58,17,63,ST,Right,"183cm / 6'0""",73kg / 161lb,CAM,22,Canada,MLS,Columbus Crew
Jack Aitchison,64,82,60,60,65,26,47,CAM,Right,"180cm / 5'11""",70kg / 154lb,ST,24,Scotland,EFL League One,Exeter City
Jack Armer,63,70,44,55,58,57,68,LB,Left,"185cm / 6'1""",74kg / 163lb,,23,Scotland,EFL League One,Burton Albion
Jack Baldwin,64,57,40,51,55,63,71,CB,Right,"185cm / 6'1""",70kg / 154lb,,31,England,EFL League One,Northampton
Jack Bonham,65,66,62,65,65,43,64,GK,Right,"192cm / 6'4""",95kg / 209lb,,31,Republic of Ireland,EFL Championship,Stoke City
Jack Brady,55,55,55,54,55,38,54,GK,Right,"182cm / 6'0""",74kg / 163lb,,27,Republic of Ireland,SSE Airtricity PD,Galway United
Jack Burroughs,63,72,52,56,62,60,71,RB,Right,"188cm / 6'2""",80kg / 176lb,LB,23,Scotland,Scottish Prem,Kilmarnock
Jack Butland,77,78,75,74,77,52,76,GK,Right,"196cm / 6'5""",95kg / 209lb,,31,England,Scottish Prem,Rangers
Jack Bycroft,60,63,56,56,62,38,59,GK,Right,"187cm / 6'2""",81kg / 179lb,,22,England,EFL League Two,Swindon Town
Jack Byrne,68,70,65,69,70,49,64,RW,Right,"170cm / 5'7""",67kg / 148lb,RM,28,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Jack Clarke,75,83,72,68,76,40,60,LM,Right,"181cm / 5'11""",74kg / 163lb,LW,23,England,Premier League,Ipswich
Jack Clisby,64,61,53,59,59,59,72,LB,Left,"180cm / 5'11""",72kg / 159lb,,32,Australia,A-League,WS Wanderers
Jack Colback,69,51,58,65,64,68,67,CDM,Left,"177cm / 5'10""",77kg / 170lb,CM,34,England,EFL Championship,QPR
Jack Cooper-Love,61,64,61,51,60,33,54,ST,Right,"177cm / 5'10""",72kg / 159lb,,22,Sweden,EFL League One,Burton Albion
Jack Currie,64,76,37,52,63,58,59,LB,Left,"175cm / 5'9""",66kg / 146lb,,22,England,EFL League One,Leyton Orient
Jack Diamond,64,88,58,55,65,34,58,LW,Right,"175cm / 5'9""",66kg / 146lb,"LM, RW",24,England,EFL League One,Stockport
Jack Duncan,61,61,60,59,60,51,59,GK,Right,"189cm / 6'2""",85kg / 187lb,,31,Australia,A-League,Melb. Victory
Jack Earing,61,68,58,62,63,54,63,CM,Right,"182cm / 6'0""",80kg / 176lb,CDM,25,England,EFL League Two,Walsall
Jack Elliott,72,49,24,48,52,73,80,CB,Right,"198cm / 6'6""",83kg / 183lb,,29,England,MLS,Philadelphia
Jack Ellis,58,67,29,46,55,54,64,RB,Right,"183cm / 6'0""",77kg / 170lb,,20,England,EFL League Two,Carlisle United
Jack Fitzwater,64,65,37,48,54,64,69,CB,Right,"188cm / 6'2""",70kg / 154lb,,26,England,EFL League One,Exeter City
Jack Grealish,84,76,76,82,88,53,73,LW,Right,"180cm / 5'11""",81kg / 179lb,LM,29,England,Premier League,Manchester City
Jack Grieves,55,65,53,43,51,20,57,ST,Right,"180cm / 5'11""",75kg / 165lb,,19,England,Scottish Prem,Ross County
Jack Grimmer,65,73,53,54,62,62,73,RB,Right,"184cm / 6'0""",83kg / 183lb,CB,30,Scotland,EFL League One,Wycombe
Jack Hamilton,60,61,58,60,60,46,58,GK,Right,"189cm / 6'2""",75kg / 165lb,,30,Scotland,Scottish Prem,Ross County
Jack Harrison,76,79,71,70,78,49,69,RM,Left,"175cm / 5'9""",70kg / 154lb,"CAM, RW",27,England,Premier League,Everton
Jack Hendry,75,78,56,63,65,72,85,CB,Right,"195cm / 6'5""",88kg / 194lb,,29,Scotland,ROSHN Saudi League,Ettifaq FC
Jack Henry-Francis,59,53,43,58,58,53,55,CDM,Right,"181cm / 5'11""",60kg / 132lb,CM,21,Republic of Ireland,SSE Airtricity PD,Sligo Rovers
Jack Hingert,62,64,41,55,59,57,66,RB,Right,"170cm / 5'7""",68kg / 150lb,,33,Sri Lanka,A-League,Brisbane Roar
Jack Hinshelwood,69,63,63,69,69,66,65,CDM,Right,"181cm / 5'11""",74kg / 163lb,RB,19,England,Premier League,Brighton
Jack Hunt,61,60,41,57,61,59,62,RB,Right,"175cm / 5'9""",71kg / 157lb,,33,England,EFL League One,Bristol Rovers
Jack Iredale,64,72,43,56,58,61,74,CB,Left,"184cm / 6'0""",70kg / 154lb,LB,28,Australia,Scottish Prem,Hibernian
Jack Keaney,56,49,46,54,38,55,67,CB,Right,"188cm / 6'2""",78kg / 172lb,CDM,25,Republic of Ireland,SSE Airtricity PD,Drogheda United
Jack Lankester,63,75,59,60,64,43,58,CAM,Left,"177cm / 5'10""",73kg / 161lb,"CM, RM",24,England,EFL League Two,Crewe Alexandra
Jack Lynn,55,51,59,43,49,25,56,ST,Right,"185cm / 6'1""",79kg / 174lb,,24,United States,MLS,Orlando City
Jack MacKenzie,67,73,26,55,59,64,70,LB,Left,"191cm / 6'3""",65kg / 143lb,CB,24,Scotland,Scottish Prem,Aberdeen
Jack Maher,65,53,24,47,52,66,69,CB,Right,"190cm / 6'3""",80kg / 176lb,,24,United States,MLS,Nashville SC
Jack Marriott,63,76,63,50,63,25,63,ST,Right,"173cm / 5'8""",71kg / 157lb,,30,England,EFL League One,Wrexham
Jack McGlynn,68,70,53,71,68,56,60,CM,Left,"180cm / 5'11""",73kg / 161lb,,21,United States,MLS,Philadelphia
Jack McMillan,61,67,35,50,56,58,67,RB,Right,"183cm / 6'0""",77kg / 170lb,"CM, LB",26,Scotland,EFL League One,Exeter City
Jack Milne,58,56,37,55,53,58,59,CDM,Right,"192cm / 6'4""",81kg / 179lb,"RB, CB",21,Scotland,Scottish Prem,Aberdeen
Jack Moore,52,64,32,46,49,49,43,RB,Right,"178cm / 5'10""",70kg / 154lb,,20,England,EFL League One,Blackpool
Jack Moylan,62,73,62,58,64,45,62,ST,Right,"181cm / 5'11""",65kg / 143lb,"LW, CM",23,Republic of Ireland,EFL League One,Lincoln City
Jack Muldoon,61,74,60,52,62,23,64,ST,Right,"178cm / 5'10""",69kg / 152lb,RM,35,England,EFL League Two,Harrogate Town
Jack Neeley,56,58,25,30,36,60,59,CB,Right,"185cm / 6'1""",77kg / 170lb,,19,United States,MLS,Charlotte FC
Jack Nolan,64,66,61,61,64,47,68,RM,Left,"182cm / 6'0""",72kg / 159lb,"LM, RW",23,England,EFL League Two,Gillingham
Jack Panayotou,59,61,45,55,69,46,54,CM,Left,"170cm / 5'7""",70kg / 154lb,,20,United States,MLS,New England
Jack Payne,65,73,62,63,71,51,46,CM,Left,"165cm / 5'5""",60kg / 132lb,CAM,29,England,EFL League Two,Colchester
Jack Powell,63,62,60,63,64,54,65,CM,Right,"177cm / 5'10""",74kg / 163lb,,30,England,EFL League Two,Crewe Alexandra
Jack Robinson,71,59,41,59,61,71,73,CB,Left,"180cm / 5'11""",67kg / 148lb,,31,England,EFL Championship,Sheffield Utd
Jack Robinson,59,66,37,55,56,58,64,CDM,Left,"180cm / 5'11""",74kg / 163lb,"CM, LB",23,England,EFL League Two,Carlisle United
Jack Roles,60,67,59,62,63,56,45,CM,Right,"182cm / 6'0""",66kg / 146lb,"CAM, LM",25,Cyprus,EFL League One,Crawley Town
Jack Rudoni,69,72,63,66,70,63,70,CM,Left,"185cm / 6'1""",77kg / 170lb,"CAM, CDM",23,England,EFL Championship,Coventry City
Jack Sanders,61,45,31,44,43,57,79,CB,Right,"193cm / 6'4""",88kg / 194lb,RB,25,England,Scottish Prem,St. Johnstone
Jack Senga,56,54,37,45,53,55,66,CDM,Right,"189cm / 6'2""",78kg / 172lb,"CM, CB",20,Belgium,EFL League One,Reading
Jack Senior,61,76,24,50,57,56,68,LB,Left,"173cm / 5'8""",63kg / 139lb,CB,27,England,EFL League Two,Doncaster
Jack Shepherd,60,58,25,39,42,59,67,CB,Left,"189cm / 6'2""",83kg / 183lb,,23,England,EFL League Two,Bradford City
Jack Shorrock,55,77,43,47,56,49,52,LB,Left,"178cm / 5'10""",73kg / 161lb,LM,17,England,EFL League Two,Port Vale
Jack Simpson,65,51,37,51,55,64,67,CB,Left,"190cm / 6'3""",83kg / 183lb,LB,27,England,EFL League One,Leyton Orient
Jack Skahan,64,64,47,62,67,48,65,CM,Right,"178cm / 5'10""",75kg / 165lb,,26,United States,MLS,SJ Earthquakes
Jack Sowerby,66,56,51,61,68,62,73,CDM,Right,"175cm / 5'9""",76kg / 168lb,CM,29,England,EFL League One,Northampton
Jack Sparkes,65,70,46,62,63,59,64,LB,Left,"177cm / 5'10""",63kg / 139lb,,23,England,EFL League One,Peterborough
Jack Stacey,73,71,55,66,70,70,73,RB,Right,"180cm / 5'11""",66kg / 146lb,,28,England,EFL Championship,Norwich
Jack Stephens,73,42,42,62,66,74,73,CB,Right,"185cm / 6'1""",75kg / 165lb,,30,England,Premier League,Southampton
Jack Stevens,63,63,62,63,63,41,62,GK,Right,"188cm / 6'2""",77kg / 170lb,,27,England,EFL League One,Cambridge Utd
Jack Stretton,58,66,58,43,56,25,54,ST,Right,"183cm / 6'0""",74kg / 163lb,,23,Scotland,EFL League One,Stockport
Jack Taylor,68,72,65,64,67,64,71,CDM,Right,"185cm / 6'1""",70kg / 154lb,CM,26,Republic of Ireland,Premier League,Ipswich
Jack Tucker,62,63,30,44,49,60,77,CB,Right,"192cm / 6'4""",85kg / 187lb,,24,England,EFL League Two,MK Dons
Jack Vale,62,72,61,50,62,26,57,ST,Right,"183cm / 6'0""",70kg / 154lb,,23,Wales,Scottish Prem,Motherwell
Jack Walton,66,66,63,63,65,34,67,GK,Right,"184cm / 6'0""",77kg / 170lb,,26,England,Scottish Prem,Dundee United
Jack Warshawsky,55,57,51,51,57,31,52,GK,Right,"189cm / 6'2""",78kg / 172lb,,20,Australia,A-League,Central Coast
Jack Whatmough,69,49,26,48,56,68,78,CB,Right,"190cm / 6'3""",82kg / 181lb,,28,England,EFL Championship,Preston
Jack Young,56,62,47,57,60,49,44,CM,Right,"171cm / 5'7""",64kg / 141lb,CDM,23,England,EFL League One,Wycombe
Jackie Groenen,79,79,65,81,80,71,72,CM,Right,"165cm / 5'5""",60kg / 132lb,CDM,29,Netherlands,Arkema PL,Paris SG
Jackson Hopkins,56,65,38,55,58,38,60,CAM,Right,"188cm / 6'2""",74kg / 163lb,CM,20,United States,MLS,D.C. United
Jackson Irvine,74,64,68,70,70,72,79,CM,Right,"189cm / 6'2""",70kg / 154lb,CDM,31,Australia,Bundesliga,FC St. Pauli
Jackson Muleka,69,81,70,59,70,36,73,RW,Right,"180cm / 5'11""",80kg / 176lb,"ST, RM",24,Congo DR,ROSHN Saudi League,Al Kholood
Jackson Porozo,71,70,31,42,45,71,74,CB,Right,"192cm / 6'4""",84kg / 185lb,,24,Ecuador,LA LIGA,CD Leganes
Jackson Ragen,67,46,23,50,41,65,77,CB,Right,"198cm / 6'6""",91kg / 201lb,,25,United States,MLS,Sounders FC
Jackson Smith,62,61,59,59,63,37,61,GK,Right,"187cm / 6'2""",76kg / 168lb,,22,England,EFL League One,Barnsley
Jackson Tchatchoua,73,88,56,62,72,66,79,RB,Right,"186cm / 6'1""",76kg / 168lb,"RM, LM",23,Cameroon,Serie A Enilive,Hellas Verona
Jackson Travis,53,70,31,39,60,48,48,LB,Left,"172cm / 5'8""",68kg / 150lb,,20,United States,MLS,Colorado Rapids
Jackson Yueill,69,59,61,68,66,64,73,CM,Right,"178cm / 5'10""",74kg / 163lb,CDM,27,United States,MLS,SJ Earthquakes
Jacob Andersen,62,78,34,54,54,58,64,RB,Right,"186cm / 6'1""",78kg / 172lb,CB,20,Denmark,3F Superliga,AGF
Jacob Barrett Laursen,68,61,52,60,67,65,70,LB,Left,"181cm / 5'11""",77kg / 170lb,"LM, CB",29,Denmark,Allsvenskan,BK Häcken
Jacob Bedeau,63,74,36,46,54,62,72,CB,Left,"182cm / 6'0""",78kg / 172lb,,24,Grenada,EFL League Two,Notts County
Jacob Bergström,63,64,61,44,57,37,80,ST,Right,"195cm / 6'5""",95kg / 209lb,,29,Sweden,Allsvenskan,Mjällby AIF
Jacob Brown,69,73,69,62,69,48,72,ST,Right,"184cm / 6'0""",72kg / 159lb,RM,26,Scotland,EFL Championship,Luton Town
Jacob Bruun Larsen,73,81,72,70,73,55,66,LM,Right,"183cm / 6'0""",77kg / 170lb,"RM, ST, LW",25,Denmark,Bundesliga,TSG Hoffenheim
Jacob Carney,55,54,56,50,58,32,53,GK,Right,"188cm / 6'2""",75kg / 165lb,,23,England,EFL League Two,Newport County
Jacob Castro,55,56,60,53,56,43,51,GK,Right,"193cm / 6'4""",86kg / 190lb,,24,United States,MLS,Sounders FC
Jacob Chapman,58,60,59,63,59,25,58,GK,Right,"185cm / 6'1""",75kg / 165lb,,23,Australia,EFL League One,Huddersfield
Jacob Christensen,71,70,56,68,70,67,69,CDM,Right,"178cm / 5'10""",65kg / 143lb,,23,Denmark,Bundesliga 2,1. FC Köln
Jacob Danquah,56,52,25,34,29,54,68,CB,Right,"194cm / 6'4""",82kg / 181lb,,19,Germany,3. Liga,Hannover 96 II
Jacob Davenport,59,64,43,59,59,57,55,CDM,Left,"177cm / 5'10""",73kg / 161lb,CM,25,England,SSE Airtricity PD,Derry City
Jacob Dennis,50,50,50,51,53,22,47,GK,Right,"181cm / 5'11""",67kg / 148lb,,20,Wales,EFL Championship,Cardiff City
Jacob Dowse,57,65,54,58,55,44,65,LM,Left,"184cm / 6'0""",76kg / 168lb,"ST, LW",24,Australia,A-League,Newcastle Jets
Jacob Farrell,67,64,43,49,59,66,79,LB,Left,"180cm / 5'11""",75kg / 165lb,CB,21,Australia,EFL Championship,Portsmouth
Jacob Greaves,75,69,40,63,65,75,79,CB,Left,"194cm / 6'4""",87kg / 192lb,LB,24,England,Premier League,Ipswich
Jacob Italiano,61,75,55,56,67,46,45,LM,Right,"177cm / 5'10""",71kg / 157lb,"RM, LB, LW",23,Australia,Bundesliga,Grazer AK
Jacob Jackson,60,60,63,55,62,27,58,GK,Right,"180cm / 5'11""",86kg / 190lb,,24,United States,MLS,SJ Earthquakes
Jacob Karlstrøm,68,68,66,69,69,38,66,GK,Right,"200cm / 6'7""",90kg / 198lb,,27,Norway,Allsvenskan,IFK Göteborg
Jacob Mendy,62,89,42,53,58,54,70,LB,Left,"182cm / 6'0""",75kg / 165lb,RB,27,Gambia,EFL League One,Wrexham
Jacob Muir,58,49,27,45,46,56,70,CB,Right,"184cm / 6'0""",75kg / 165lb,,22,Australia,A-League,Perth Glory
Jacob Murphy,76,82,70,71,78,61,69,RW,Right,"179cm / 5'10""",74kg / 163lb,RM,29,England,Premier League,Newcastle Utd
Jacob Murrell,57,49,55,39,55,24,63,ST,Right,"190cm / 6'3""",82kg / 181lb,,20,United States,MLS,D.C. United
Jacob Ondrejka,71,79,66,69,73,46,60,LM,Right,"180cm / 5'11""",70kg / 154lb,"RM, CAM, LW",22,Sweden,1A Pro League,Royal Antwerp FC
Jacob Ortmark,65,67,58,64,68,59,66,CM,Right,"176cm / 5'9""",77kg / 170lb,CDM,27,Sweden,Allsvenskan,IFK Norrköping
Jacob Ramsey,78,78,75,73,80,68,74,LM,Right,"180cm / 5'11""",72kg / 159lb,"CM, RM, LW",23,England,Premier League,Aston Villa
Jacob Rasmussen,73,56,39,60,62,72,79,CB,Left,"190cm / 6'3""",81kg / 179lb,,27,Denmark,3F Superliga,Brøndby IF
Jacob Rinne,73,73,71,73,75,46,71,GK,Left,"188cm / 6'2""",87kg / 192lb,,31,Sweden,Allsvenskan,Djurgårdens IF
Jacob Shaffelburg,67,91,61,60,65,52,63,LM,Left,"178cm / 5'10""",74kg / 163lb,"ST, LW",24,Canada,MLS,Nashville SC
Jacob Sørensen,70,63,55,65,67,68,70,CDM,Right,"184cm / 6'0""",77kg / 170lb,"CB, LB",26,Denmark,EFL Championship,Norwich
Jacob Trenskow,65,66,60,62,67,48,46,RW,Left,"178cm / 5'10""",64kg / 141lb,"CM, RM",23,Denmark,Eredivisie,sc Heerenveen
Jacob Une-Larsson,66,66,44,53,49,65,72,CB,Right,"181cm / 5'11""",74kg / 163lb,,30,Sweden,Allsvenskan,Djurgårdens IF
Jacob Wakeling,62,80,60,50,63,21,61,ST,Left,"178cm / 5'10""",76kg / 168lb,RW,22,England,EFL League Two,Gillingham
Jacob Widell Zetterström,71,78,70,67,75,20,67,GK,Right,"197cm / 6'6""",82kg / 181lb,,26,Sweden,EFL Championship,Derby County
Jacob Wright,62,64,52,62,62,57,57,CDM,Right,"173cm / 5'8""",70kg / 154lb,,18,England,Premier League,Manchester City
Jacobo,64,63,22,45,48,65,64,CB,Right,"190cm / 6'3""",78kg / 172lb,,19,Spain,LA LIGA,Real Madrid
Jacobo,65,76,65,62,69,33,48,RM,Right,"179cm / 5'10""",66kg / 146lb,"LM, CAM, RW",27,Spain,LALIGA HYPERMOTION,Córdoba CF
Jacopo Desogus,62,76,61,58,69,28,49,CAM,Right,"174cm / 5'9""",68kg / 150lb,"LM, ST",21,Italy,Serie BKT,Cittadella
Jacopo Fazzini,68,68,66,67,70,59,62,CM,Right,"178cm / 5'10""",70kg / 154lb,CAM,21,Italy,Serie A Enilive,Empoli
Jacopo Petriccione,68,46,51,69,68,55,62,CM,Right,"176cm / 5'9""",75kg / 165lb,CDM,29,Italy,Serie BKT,Catanzaro
Jacopo Segre,69,73,67,65,67,65,77,CM,Right,"185cm / 6'1""",75kg / 165lb,CDM,27,Italy,Serie BKT,Palermo
Jacqueline Meißner,76,64,54,69,68,78,69,CB,Right,"168cm / 5'6""",60kg / 132lb,LB,30,Germany,GPFBL,SGS Essen
Jacqueline Owusu,74,77,68,70,70,62,75,CM,Right,"163cm / 5'4""",58kg / 128lb,,22,Ghana,Liga F,Real Sociedad
Jacques Ekomié,66,71,31,57,62,62,64,LB,Left,"179cm / 5'10""",73kg / 161lb,CB,21,Gabon,Ligue 1 McDonald's,Angers SCO
Jacques Siwe,63,64,63,47,63,24,53,ST,Right,"183cm / 6'0""",72kg / 159lb,CAM,23,France,Ligue 2 BKT,En Avant Guingamp
Jad Hakiki,58,66,46,56,65,49,49,CM,Right,"178cm / 5'10""",73kg / 161lb,CAM,20,Republic of Ireland,SSE Airtricity PD,Dundalk
Jadan Raymond,59,67,55,57,63,38,48,CAM,Left,"179cm / 5'10""",73kg / 161lb,RW,20,Wales,Premier League,Crystal Palace
Jade Le Guilly,78,68,55,71,70,77,68,RB,Right,"171cm / 5'7""",63kg / 139lb,,22,France,Arkema PL,Paris SG
Jade Nassi,70,75,63,65,75,31,57,LW,Right,"164cm / 5'5""",58kg / 128lb,"ST, LM",21,France,Arkema PL,Stade de Reims
Jade Rastocle,71,57,39,56,62,72,66,CB,Right,"168cm / 5'6""",58kg / 128lb,CDM,20,France,Arkema PL,Montpellier
Jadel Katongo,64,70,36,55,58,61,68,RB,Right,"184cm / 6'0""",81kg / 179lb,"CB, CDM",20,England,Premier League,Manchester City
Jaden Brown,61,79,43,55,63,55,62,LB,Left,"175cm / 5'9""",72kg / 159lb,,25,England,Scottish Prem,St. Mirren
Jaden Dixon,53,68,31,43,49,52,61,CB,Right,"180cm / 5'11""",76kg / 168lb,RB,17,England,EFL Championship,Stoke City
Jaden Philogene,75,85,71,69,78,37,59,LM,Right,"179cm / 5'10""",67kg / 148lb,"RM, LW",22,England,Premier League,Aston Villa
Jaden Pinas,56,61,31,38,46,56,62,CB,Right,"187cm / 6'2""",79kg / 174lb,,20,Netherlands,Eredivisie,Almere City FC
Jaden Slory,62,84,57,51,67,28,43,RW,Right,"176cm / 5'9""",67kg / 148lb,"CAM, RM",19,Netherlands,Eredivisie,Feyenoord
Jaden Warner,59,74,25,46,48,58,64,CB,Right,"194cm / 6'4""",87kg / 192lb,,21,England,EFL Championship,Norwich
Jader,66,67,64,62,69,36,47,LM,Right,"173cm / 5'8""",67kg / 148lb,LW,21,Brazil,Sudamericana,Uni. Católica
Jadon Sancho,82,79,69,78,89,32,50,LM,Right,"180cm / 5'11""",76kg / 168lb,"RM, LW",24,England,Premier League,Chelsea
Jaedyn Shaw,73,81,70,71,71,44,64,RM,Right,"167cm / 5'6""",58kg / 128lb,"CAM, RW",19,United States,NWSL,San Diego Wave
Jahce Tyler Novello,60,74,59,53,59,32,66,ST,Right,"182cm / 6'0""",77kg / 170lb,CAM,20,Australia,Serie BKT,Cosenza
Jaheim Headley,63,86,54,54,67,55,65,LB,Left,"175cm / 5'9""",65kg / 143lb,LM,22,England,EFL League One,Huddersfield
Jahkeele Marshall-Rutty,61,81,51,55,69,52,41,RB,Right,"170cm / 5'7""",69kg / 152lb,"RM, LM",20,Canada,MLS,CF Montréal
Jahlane Forbes,59,68,31,50,55,55,61,LB,Left,"183cm / 6'0""",80kg / 176lb,,22,United States,MLS,Charlotte FC
Jaiden Kucharski,59,76,59,48,61,34,59,ST,Right,"180cm / 5'11""",70kg / 154lb,"CAM, LM",22,Australia,A-League,Sydney FC
Jaider Asprilla,63,60,54,59,63,30,48,LM,Left,"185cm / 6'1""",68kg / 150lb,LW,21,Colombia,Liga Colombia,Atl. Nacional
Jaidon Anthony,72,77,66,68,74,39,63,LM,Right,"183cm / 6'0""",72kg / 159lb,LW,24,England,EFL Championship,Burnley
Jaime Acosta,60,58,63,55,63,33,57,GK,Right,"191cm / 6'3""",78kg / 172lb,,22,Colombia,Libertadores,Junior
Jaime Alvarado,70,64,53,62,66,66,78,CDM,Right,"180cm / 5'11""",87kg / 192lb,CM,25,Colombia,Sudamericana,Indep. Medellín
Jaime Arrascaita,67,82,56,61,67,37,46,RM,Right,"175cm / 5'9""",68kg / 150lb,"LM, ST, RW",31,Bolivia,Libertadores,The Strongest
Jaime Seoane,72,76,71,71,74,66,74,CM,Right,"175cm / 5'9""",73kg / 161lb,"CAM, ST",27,Spain,LALIGA HYPERMOTION,R. Oviedo
Jaime Sánchez,69,64,33,51,49,69,70,CB,Right,"183cm / 6'0""",75kg / 165lb,"RB, CDM",29,Spain,LALIGA HYPERMOTION,RC Deportivo
Jaime Villamil,62,73,26,52,52,55,58,LB,Left,"175cm / 5'9""",71kg / 157lb,,31,Bolivia,Sudamericana,Real Tomayapo
Jair Amador,70,64,29,48,46,68,82,CB,Left,"190cm / 6'3""",89kg / 196lb,,35,Portugal,LALIGA HYPERMOTION,Real Zaragoza
Jair Tavares,63,90,56,55,63,25,43,LM,Right,"181cm / 5'11""",69kg / 152lb,LW,23,Portugal,Scottish Prem,Motherwell
Jairo,69,87,65,65,70,63,62,RW,Left,"165cm / 5'5""",64kg / 141lb,"RM, LW",30,Spain,LALIGA HYPERMOTION,FC Cartagena
